Unit,School / Division,Category,Calendar name,Calendar URL,Platform / CMS,How content is rendered,Feed / API endpoint,Best way to fetch it programmatically,Confidence,Notes
Penn Engineering - Bioengineering,Engineering,Department,Bioengineering Seminars (tag view),https://events.engineering.upenn.edu/calendar/tag/be/list/,WordPress + The Events Calendar,Server-rendered HTML,?ical=1 on the tag view,"WordPress ""The Events Calendar"": use /wp-json/tribe/events/v1/events (JSON, paginated) — cleanest option. ?ical=1 on any view gives .ics.",Verified (page fetched),Tag-filtered view of school calendar
Penn Engineering - Computer & Information Science,Engineering,Department,CIS Seminar Series,https://www.cis.upenn.edu/about-cis/events/index.php,Static PHP,Server-rendered HTML,none,"Static server-rendered HTML — requests + BeautifulSoup. Layout is hand-maintained, so selectors may drift.",Verified (page fetched),Grace Hopper Lecture Series sub-page
Penn Engineering - Electrical & Systems Engineering,Engineering,Department,ESE Events,https://www.ese.upenn.edu/ese-events/,WordPress,Server-rendered HTML,unknown,WordPress: server-rendered HTML — requests + BeautifulSoup. Try /wp-json/wp/v2/ first; some sites expose events as a custom post type.,Pattern-inferred — confirm URL before scraping,
Penn Engineering - Mechanical Engineering & Applied Mechanics,Engineering,Department,MEAM Seminar Series,https://blog.me.upenn.edu/,WordPress blog,Server-rendered HTML,WordPress RSS,WordPress: server-rendered HTML — requests + BeautifulSoup. Try /wp-json/wp/v2/ first; some sites expose events as a custom post type.,Verified (page fetched),Seminars also on school calendar tag /meam/
PSOM - Radiology,Medicine,Department,Radiology Events (LiveWhale group),https://events.med.upenn.edu/radiology/,LiveWhale Calendar,JS-rendered,LiveWhale ics/RSS,"LiveWhale: the HTML is injected by JS, so scraping the page fails. Use the group feed instead — append ?format=json or ?format=ics to the group URL, or build one from the calendar's Subscribe button.",Verified (page fetched),Per-department LiveWhale group views
PSOM - Microbiology,Medicine,Department,Seminars & Events,https://www.med.upenn.edu/micro/seminars-and-events.html,Static HTML (PSOM template),Server-rendered HTML,none,"Static server-rendered HTML — requests + BeautifulSoup. Layout is hand-maintained, so selectors may drift.",Verified (page fetched),
PSOM - Cardiovascular Institute,Medicine,Institute,Upcoming Seminars and Workshops,https://www.med.upenn.edu/cvi/seminar-calendar.html,Static HTML (PSOM template),Server-rendered HTML,none,"Static server-rendered HTML — requests + BeautifulSoup. Layout is hand-maintained, so selectors may drift.",Verified (page fetched),
PSOM - Cell & Molecular Biology Graduate Group,Medicine,Graduate group,Seminar Series,https://www.med.upenn.edu/camb/seminar-series.html,Static HTML (PSOM template),Server-rendered HTML,none,"Static server-rendered HTML — requests + BeautifulSoup. Layout is hand-maintained, so selectors may drift.",Verified (page fetched),
PSOM - Department of Medicine,Medicine,Department,Events Calendar (LiveWhale group),https://events.med.upenn.edu/medicine/,LiveWhale Calendar,JS-rendered,LiveWhale ics/RSS via Subscribe,"LiveWhale: the HTML is injected by JS, so scraping the page fails. Use the group feed instead — append ?format=json or ?format=ics to the group URL, or build one from the calendar's Subscribe button.",Verified (page fetched),
PSOM - Neuroscience Graduate Group,Medicine,Graduate group,Events Calendar (LiveWhale group),https://events.med.upenn.edu/ngg/,LiveWhale Calendar,JS-rendered,LiveWhale ics/RSS,"LiveWhale: the HTML is injected by JS, so scraping the page fails. Use the group feed instead — append ?format=json or ?format=ics to the group URL, or build one from the calendar's Subscribe button.",Verified (page fetched),
PSOM - Office of Academic Affairs,Medicine,Office,Events Calendar (LiveWhale group),https://events.med.upenn.edu/oaa/,LiveWhale Calendar,JS-rendered,LiveWhale ics/RSS,"LiveWhale: the HTML is injected by JS, so scraping the page fails. Use the group feed instead — append ?format=json or ?format=ics to the group URL, or build one from the calendar's Subscribe button.",Verified (page fetched),
PSOM - Biostatistics Epidemiology & Informatics,Medicine,Department,Events Calendar (LiveWhale group),https://events.med.upenn.edu/dbei/all,LiveWhale Calendar,JS-rendered,LiveWhale ics/RSS,"LiveWhale: the HTML is injected by JS, so scraping the page fails. Use the group feed instead — append ?format=json or ?format=ics to the group URL, or build one from the calendar's Subscribe button.",Verified (page fetched),
PSOM - Biochemistry & Molecular Biophysics Grad Group,Medicine,Graduate group,Events Calendar (LiveWhale group),https://events.med.upenn.edu/bmb/,LiveWhale Calendar,JS-rendered,LiveWhale ics/RSS,"LiveWhale: the HTML is injected by JS, so scraping the page fails. Use the group feed instead — append ?format=json or ?format=ics to the group URL, or build one from the calendar's Subscribe button.",Verified (page fetched),
PSOM - Penn Science Policy & Diplomacy Group,Medicine,Group,Events Calendar (LiveWhale group),https://events.med.upenn.edu/pspdg/,LiveWhale Calendar,JS-rendered,LiveWhale ics/RSS,"LiveWhale: the HTML is injected by JS, so scraping the page fails. Use the group feed instead — append ?format=json or ?format=ics to the group URL, or build one from the calendar's Subscribe button.",Verified (page fetched),
PSOM - Combined Degree & Physician Scholar Programs,Medicine,Program,Events and Activities,https://www.med.upenn.edu/educ_combdeg/events-activities/,Static HTML (PSOM template),Server-rendered HTML,none,"Static server-rendered HTML — requests + BeautifulSoup. Layout is hand-maintained, so selectors may drift.",Verified (page fetched),
PSOM - IDEAL MEd,Medicine,Office,Calendar,https://www.med.upenn.edu/diversityume/calendar/,Static HTML (PSOM template),Server-rendered HTML,none,"Static server-rendered HTML — requests + BeautifulSoup. Layout is hand-maintained, so selectors may drift.",Verified (page fetched),
PSOM (school),Medicine,School,PSOM Calendar landing,https://www.med.upenn.edu/psom/calendar.html,Static HTML (PSOM template),Server-rendered HTML,none,"Static server-rendered HTML — requests + BeautifulSoup. Layout is hand-maintained, so selectors may drift.",Verified (page fetched),Links into LiveWhale calendar
Law - Institute for Law & Economics,Law,Institute,Events,https://www.law.upenn.edu/institutes/ile/events.php,Static PHP,Server-rendered HTML,none,"Static server-rendered HTML — requests + BeautifulSoup. Layout is hand-maintained, so selectors may drift.",Verified (page fetched),
Law - Center for Technology Innovation & Competition,Law,Center,Events,https://www.law.upenn.edu/institutes/ctic/events.php,Static PHP,Server-rendered HTML,none,"Static server-rendered HTML — requests + BeautifulSoup. Layout is hand-maintained, so selectors may drift.",Verified (page fetched),
Law - Quattrone Center for the Fair Administration of Justice,Law,Center,Events,https://www.law.upenn.edu/institutes/quattronecenter/events.php,Static PHP,Server-rendered HTML,none,"Static server-rendered HTML — requests + BeautifulSoup. Layout is hand-maintained, so selectors may drift.",Verified (page fetched),
Law - Center for Asian Law,Law,Center,Center page (events listed),https://www.law.upenn.edu/institutes/cal,Static PHP,Server-rendered HTML,none,"Static server-rendered HTML — requests + BeautifulSoup. Layout is hand-maintained, so selectors may drift.",Verified (page fetched),
Law - Conferences & Events office,Law,Office,Conferences & Events,https://www.law.upenn.edu/administration/conferencesevents/,Static PHP,Server-rendered HTML,none,"Static server-rendered HTML — requests + BeautifulSoup. Layout is hand-maintained, so selectors may drift.",Verified (page fetched),
Annenberg - Center on Digital Culture and Society,Annenberg,Center,Events,https://www.asc.upenn.edu/research/centers/center-on-digital-culture-and-society/events,Drupal 11,Server-rendered HTML,none,Drupal: server-rendered HTML — requests + BeautifulSoup. Check for /ics (Drupal 7 SAS sites often expose one) and ?page= pagination.,Verified (page fetched),Pattern: /research/centers/<slug>/events
Annenberg - Center for Media at Risk,Annenberg,Center,Events,https://www.asc.upenn.edu/research/centers/center-for-media-at-risk/events,Drupal 11,Server-rendered HTML,none,Drupal: server-rendered HTML — requests + BeautifulSoup. Check for /ics (Drupal 7 SAS sites often expose one) and ?page= pagination.,Verified (page fetched),
Annenberg - Center for Advanced Research in Global Communication,Annenberg,Center,Events,https://www.asc.upenn.edu/research/centers/center-for-advanced-research-in-global-communication/events,Drupal 11,Server-rendered HTML,none,Drupal: server-rendered HTML — requests + BeautifulSoup. Check for /ics (Drupal 7 SAS sites often expose one) and ?page= pagination.,Verified (page fetched),
Annenberg - Media Inequality & Change Center,Annenberg,Center,Events,https://www.asc.upenn.edu/research/centers/media-inequality-and-change-center,Drupal 11,Server-rendered HTML,none,Drupal: server-rendered HTML — requests + BeautifulSoup. Check for /ics (Drupal 7 SAS sites often expose one) and ?page= pagination.,Verified (page fetched),
Annenberg - Institute for the Study of Citizens and Politics,Annenberg,Center,Events,https://www.asc.upenn.edu/research/centers/institute-for-the-study-of-citizens-and-politics,Drupal 11,Server-rendered HTML,none,Drupal: server-rendered HTML — requests + BeautifulSoup. Check for /ics (Drupal 7 SAS sites often expose one) and ?page= pagination.,Verified (page fetched),
Annenberg Public Policy Center,Annenberg,Center,Events,https://www.annenbergpublicpolicycenter.org/events/,WordPress,Server-rendered HTML,unknown,WordPress: server-rendered HTML — requests + BeautifulSoup. Try /wp-json/wp/v2/ first; some sites expose events as a custom post type.,Pattern-inferred — confirm URL before scraping,Separate domain
Vet - Pathobiology,Vet,Department,Pathobiology Events,https://www.vet.upenn.edu/research/academic-departments/pathobiology/news-and-events/pathobiology-events,Sitecore (legacy) / WordPress,Server-rendered HTML,none,"WordPress ""The Events Calendar"": use /wp-json/tribe/events/v1/events (JSON, paginated) — cleanest option. ?ical=1 on any view gives .ics.",Verified (page fetched),Global Parasitology Seminars
Vet - Research news & events,Vet,School,Events Archive,https://www.vet.upenn.edu/research/news-events-conferences,WordPress,Server-rendered HTML,none,WordPress: server-rendered HTML — requests + BeautifulSoup. Try /wp-json/wp/v2/ first; some sites expose events as a custom post type.,Verified (page fetched),
Vet - Continuing Education,Vet,Continuing ed,CE Events,https://www.vet.upenn.edu/education/continuing-education,WordPress,Server-rendered HTML,unknown,WordPress: server-rendered HTML — requests + BeautifulSoup. Try /wp-json/wp/v2/ first; some sites expose events as a custom post type.,Pattern-inferred — confirm URL before scraping,Penn Annual Conference
GSE - News & Events,GSE,School,Events Calendar (alt path),https://www.gse.upenn.edu/news-and-events/events-calendar,Drupal 10,Server-rendered HTML,none,Drupal: server-rendered HTML — requests + BeautifulSoup. Check for /ics (Drupal 7 SAS sites often expose one) and ?page= pagination.,Verified (page fetched),Same data as /events
GSE - Annual Events & Series,GSE,School,Annual Events & Series,https://www.gse.upenn.edu/news-and-events/annual-events-and-series,Drupal 10,Server-rendered HTML,none,Drupal: server-rendered HTML — requests + BeautifulSoup. Check for /ics (Drupal 7 SAS sites often expose one) and ?page= pagination.,Verified (page fetched),
GSE - One Penn GSE Registrar,GSE,Academic deadlines,Academic Calendar,https://onepenn.gse.upenn.edu/student-records-registrar/academic-calendar,Drupal,Server-rendered HTML,none,Drupal: server-rendered HTML — requests + BeautifulSoup. Check for /ics (Drupal 7 SAS sites often expose one) and ?page= pagination.,Verified (page fetched),Per-term sub-pages
Weitzman - Architecture,Design,Department,"Events (school calendar, filtered)",https://www.design.upenn.edu/architecture,Drupal 10,Server-rendered HTML,none,Drupal: server-rendered HTML — requests + BeautifulSoup. Check for /ics (Drupal 7 SAS sites often expose one) and ?page= pagination.,Verified (page fetched),Department events surface on school calendar
Weitzman - City & Regional Planning,Design,Department,"Events (school calendar, filtered)",https://www.design.upenn.edu/city-regional-planning,Drupal 10,Server-rendered HTML,none,Drupal: server-rendered HTML — requests + BeautifulSoup. Check for /ics (Drupal 7 SAS sites often expose one) and ?page= pagination.,Verified (page fetched),
Weitzman - Fine Arts,Design,Department,"Events (school calendar, filtered)",https://www.design.upenn.edu/fine-arts,Drupal 10,Server-rendered HTML,none,Drupal: server-rendered HTML — requests + BeautifulSoup. Check for /ics (Drupal 7 SAS sites often expose one) and ?page= pagination.,Verified (page fetched),
Weitzman - Historic Preservation,Design,Department,"Events (school calendar, filtered)",https://www.design.upenn.edu/historic-preservation,Drupal 10,Server-rendered HTML,none,Drupal: server-rendered HTML — requests + BeautifulSoup. Check for /ics (Drupal 7 SAS sites often expose one) and ?page= pagination.,Verified (page fetched),
Weitzman - Landscape Architecture,Design,Department,"Events (school calendar, filtered)",https://www.design.upenn.edu/landscape-architecture,Drupal 10,Server-rendered HTML,none,Drupal: server-rendered HTML — requests + BeautifulSoup. Check for /ics (Drupal 7 SAS sites often expose one) and ?page= pagination.,Verified (page fetched),
